name,P0,P1,gl,gb,nobs,m0,f0,fe0,s0,r0,re0,maxmed0,m1,f1,fe1,s1,r1,re1,maxmed1,m2,f2,fe2,s2,r2,re2,maxmed2,m3,f3,fe3,s3,r3,re3,maxmed3,m4,f4,fe4,s4,r4,re4,maxmed4,m5,f5,fe5,s5,r5,re5,maxmed5,m6,f6,fe6,s6,r6,re6,maxmed6,m7,f7,fe7,s7,r7,re7,maxmed7,index,ind_err,s1400,dm
J0931-1902,0.004638,-2.15e-20,250.999,23.054,59,1.152,1.466,0.128,0.983,0.67,0.121,4.62,0.861,1.079,0.085,0.654,0.607,0.104,3.921,0.685,0.829,0.075,0.573,0.692,0.127,4.188,0.607,0.753,0.077,0.592,0.786,0.153,4.995,0.5,0.746,0.094,0.724,0.97,0.213,8.33,0.342,0.492,0.06,0.463,0.942,0.203,7.524,0.295,0.405,0.05,0.385,0.95,0.206,7.887,0.25,0.398,0.057,0.438,1.1,0.26,12.186,-2.412,0.213,0.542,41.48991
J0955-6150,0.001999,1.43e-20,283.685,-5.737,103,2.141,2.246,0.053,0.54,0.241,0.023,1.768,1.677,1.708,0.042,0.429,0.251,0.024,1.683,1.257,1.318,0.038,0.383,0.291,0.029,1.948,0.956,1.039,0.033,0.334,0.321,0.033,2.032,0.771,0.798,0.026,0.262,0.328,0.034,2.187,0.603,0.632,0.02,0.204,0.322,0.033,2.114,0.513,0.504,0.019,0.194,0.386,0.042,2.047,0.381,0.401,0.017,0.17,0.423,0.047,2.159,-3.132,0.061,0.671,160.89993
J1012-4235,0.003101,6.3800000000000005e-21,274.218,11.225,82,0.402,0.424,0.013,0.121,0.284,0.031,1.788,0.342,0.375,0.013,0.114,0.303,0.034,2.196,0.325,0.346,0.011,0.099,0.287,0.032,2.0,0.302,0.323,0.012,0.11,0.342,0.04,2.238,0.268,0.283,0.011,0.099,0.349,0.041,2.907,0.254,0.272,0.01,0.094,0.345,0.04,2.295,0.227,0.245,0.01,0.094,0.381,0.046,2.38,0.215,0.228,0.01,0.095,0.416,0.052,2.809,-1.118,0.074,0.273,71.6507
J1017-7156,0.002339,2.2200000000000002e-21,291.558,-12.553,89,2.119,2.278,0.088,0.834,0.366,0.042,2.297,1.797,1.942,0.075,0.708,0.365,0.042,2.15,1.547,1.667,0.067,0.634,0.38,0.044,2.562,1.286,1.396,0.058,0.552,0.395,0.046,2.578,1.057,1.142,0.044,0.417,0.366,0.042,2.256,0.89,1.004,0.045,0.428,0.427,0.051,2.72,0.84,0.898,0.041,0.387,0.432,0.052,2.332,0.679,0.735,0.036,0.34,0.463,0.058,2.782,-2.063,0.085,1.045,94.21511
J1022+1001,0.016453,4.33e-20,231.794,51.101,71,3.602,6.308,0.805,6.78,1.075,0.228,8.267,4.018,7.613,1.21,10.194,1.339,0.326,14.231,3.522,7.549,1.173,9.888,1.31,0.314,13.762,3.47,6.295,0.916,7.717,1.226,0.282,11.105,3.114,4.708,0.619,5.22,1.109,0.24,8.17,2.765,4.214,0.447,3.767,0.894,0.17,5.565,2.87,3.719,0.354,2.984,0.802,0.144,4.082,2.608,3.2,0.31,2.615,0.817,0.148,4.945,-1.553,0.238,4.316,10.25464
J1024-0719,0.005162,1.85e-20,251.702,40.516,73,1.346,3.198,0.554,4.729,1.479,0.379,23.217,1.579,2.835,0.427,3.646,1.286,0.301,10.074,1.317,2.362,0.339,2.9,1.228,0.279,10.41,1.316,2.017,0.213,1.823,0.904,0.171,7.232,1.192,1.674,0.148,1.265,0.756,0.13,5.435,1.212,1.529,0.127,1.086,0.71,0.118,4.71,1.088,1.37,0.104,0.885,0.646,0.103,3.886,0.869,1.144,0.091,0.781,0.683,0.111,3.852,-1.917,0.239,1.566,6.48645
J1036-8317,0.003409,3.07e-20,298.943,-21.497,82,0.605,0.685,0.037,0.338,0.494,0.066,2.84,0.515,0.586,0.035,0.318,0.544,0.075,3.625,0.437,0.5,0.03,0.274,0.549,0.076,3.613,0.341,0.44,0.032,0.286,0.649,0.097,3.634,0.345,0.447,0.042,0.379,0.847,0.146,7.181,0.331,0.406,0.037,0.335,0.825,0.14,5.47,0.248,0.379,0.037,0.333,0.88,0.155,6.548,0.267,0.324,0.029,0.26,0.803,0.134,4.046,-1.288,0.144,0.399,27.09252
J1045-4509,0.007474,1.77e-20,280.851,12.254,77,5.854,5.751,0.168,1.477,0.257,0.028,1.664,4.613,4.667,0.148,1.301,0.279,0.031,1.862,3.856,3.91,0.13,1.137,0.291,0.033,1.963,3.256,3.238,0.11,0.962,0.297,0.034,1.831,2.564,2.769,0.101,0.887,0.32,0.038,2.086,2.241,2.351,0.089,0.784,0.334,0.04,2.111,1.852,2.018,0.08,0.706,0.35,0.042,2.442,1.652,1.742,0.073,0.638,0.366,0.045,2.211,-2.186,0.069,2.447,58.11162
J1101-6424,0.005109,1.8000000000000003e-21,291.417,-4.023,86,0.575,0.588,0.011,0.102,0.173,0.017,1.548,0.513,0.522,0.009,0.084,0.161,0.015,1.443,0.442,0.447,0.009,0.088,0.196,0.019,1.522,0.392,0.392,0.007,0.067,0.17,0.016,1.459,0.343,0.343,0.007,0.063,0.183,0.018,1.393,0.312,0.309,0.006,0.055,0.179,0.017,1.523,0.273,0.276,0.007,0.061,0.22,0.022,1.623,0.244,0.243,0.006,0.058,0.239,0.025,1.727,-1.627,0.041,0.317,207.3645
J1103-5403,0.003393,3.6800000000000004e-21,287.421,5.529,78,0.867,1.022,0.066,0.584,0.572,0.083,2.987,0.724,0.83,0.054,0.478,0.576,0.084,3.265,0.632,0.702,0.046,0.405,0.577,0.084,3.804,0.533,0.573,0.038,0.335,0.585,0.086,3.769,0.428,0.463,0.028,0.246,0.53,0.075,2.989,0.378,0.391,0.024,0.21,0.538,0.076,2.829,0.34,0.352,0.023,0.207,0.588,0.086,3.601,0.266,0.303,0.021,0.183,0.605,0.09,3.823,-2.284,0.131,0.421,103.91126
J1125-5825,0.003102,6.09e-20,291.893,2.602,77,1.498,1.586,0.044,0.388,0.245,0.027,1.77,1.342,1.413,0.041,0.358,0.253,0.028,1.743,1.22,1.318,0.036,0.314,0.238,0.026,1.721,1.125,1.179,0.034,0.299,0.253,0.028,1.726,1.036,1.053,0.029,0.259,0.246,0.027,1.768,0.944,0.966,0.025,0.223,0.231,0.025,1.778,0.848,0.87,0.023,0.202,0.232,0.025,1.709,0.775,0.804,0.02,0.174,0.216,0.023,1.557,-1.269,0.054,0.982,124.81661
J1125-6014,0.00263,4.01e-21,292.504,0.894,88,2.206,2.234,0.051,0.481,0.215,0.021,1.759,1.997,2.042,0.049,0.463,0.227,0.023,2.017,1.826,1.833,0.048,0.448,0.244,0.025,1.839,1.612,1.684,0.045,0.422,0.251,0.026,1.679,1.397,1.496,0.054,0.508,0.34,0.038,2.375,1.261,1.35,0.053,0.493,0.365,0.042,2.479,1.12,1.214,0.052,0.49,0.404,0.048,3.57,0.971,1.047,0.047,0.444,0.424,0.051,2.698,-1.302,0.064,1.376,52.92873
J1216-6410,0.003539,1.6200000000000002e-21,299.096,-1.561,77,2.582,2.616,0.052,0.46,0.176,0.018,1.474,2.137,2.237,0.052,0.454,0.203,0.021,1.736,1.854,1.897,0.047,0.409,0.216,0.023,1.524,1.536,1.592,0.04,0.349,0.219,0.023,1.667,1.346,1.377,0.038,0.337,0.245,0.027,1.772,1.139,1.211,0.036,0.313,0.259,0.029,1.93,0.99,1.037,0.029,0.259,0.249,0.027,1.808,0.816,0.86,0.026,0.228,0.265,0.029,1.715,-1.99,0.05,1.225,47.39358
J1231-1411,0.003684,2.28e-20,295.531,48.385,49,0.401,0.709,0.1,0.701,0.989,0.241,8.483,0.343,0.618,0.101,0.709,1.148,0.305,12.828,0.374,0.584,0.097,0.682,1.168,0.314,11.943,0.377,0.491,0.082,0.574,1.169,0.315,10.345,0.335,0.424,0.063,0.44,1.038,0.26,9.331,0.3,0.389,0.052,0.367,0.943,0.223,8.132,0.259,0.324,0.042,0.297,0.919,0.214,8.079,0.201,0.283,0.035,0.246,0.869,0.197,8.317,-1.75,0.287,0.374,8.091
J1327-0755,0.002678,1.7700000000000003e-21,318.383,53.848,59,0.384,0.506,0.068,0.519,1.026,0.232,8.126,0.289,0.409,0.056,0.431,1.053,0.242,9.704,0.185,0.293,0.048,0.372,1.271,0.328,12.753,0.175,0.256,0.04,0.305,1.19,0.295,8.96,0.109,0.173,0.028,0.216,1.245,0.317,10.443,0.112,0.17,0.025,0.191,1.119,0.267,8.421,0.116,0.158,0.021,0.162,1.024,0.232,7.533,0.094,0.158,0.034,0.263,1.663,0.515,18.252,-2.453,0.299,0.186,27.9086
J1421-4409,0.006386,1.52e-20,319.497,15.809,74,2.386,2.444,0.112,0.968,0.396,0.051,2.321,2.082,2.151,0.104,0.893,0.415,0.054,2.394,1.783,1.931,0.092,0.795,0.412,0.054,2.275,1.614,1.748,0.088,0.754,0.431,0.057,2.218,1.469,1.472,0.063,0.543,0.369,0.046,2.26,1.302,1.334,0.067,0.574,0.431,0.057,2.658,1.107,1.175,0.058,0.499,0.424,0.056,2.494,0.847,0.951,0.053,0.453,0.477,0.066,3.148,-1.64,0.098,1.337,54.6402
J1431-5740,0.004111,6.3800000000000005e-21,315.962,2.66,75,0.565,0.584,0.017,0.146,0.251,0.028,1.956,0.524,0.559,0.018,0.153,0.274,0.031,2.34,0.492,0.521,0.017,0.15,0.289,0.033,2.511,0.459,0.48,0.015,0.134,0.279,0.032,2.502,0.395,0.425,0.014,0.119,0.281,0.032,2.49,0.358,0.377,0.011,0.098,0.261,0.029,2.364,0.314,0.337,0.01,0.086,0.256,0.029,2.221,0.284,0.294,0.008,0.072,0.244,0.027,1.994,-1.28,0.059,0.38,131.3805
J1435-6100,0.009348,2.54e-20,315.186,-0.641,84,0.521,0.524,0.008,0.069,0.132,0.012,1.322,0.467,0.475,0.007,0.064,0.136,0.013,1.332,0.424,0.434,0.007,0.068,0.156,0.015,1.423,0.38,0.39,0.009,0.079,0.202,0.02,1.593,0.332,0.349,0.008,0.075,0.215,0.022,1.708,0.301,0.311,0.007,0.063,0.203,0.02,1.632,0.273,0.28,0.007,0.064,0.228,0.023,1.79,0.233,0.241,0.006,0.056,0.234,0.024,1.719,-1.354,0.038,0.317,113.78155
J1446-4701,0.002195,9.790000000000001e-21,322.5,11.425,74,0.884,0.908,0.055,0.473,0.522,0.075,2.958,0.627,0.679,0.04,0.348,0.512,0.073,3.195,0.532,0.606,0.042,0.363,0.599,0.091,3.751,0.427,0.539,0.048,0.416,0.773,0.133,6.009,0.39,0.429,0.031,0.271,0.631,0.099,3.003,0.311,0.373,0.029,0.252,0.676,0.109,3.828,0.229,0.324,0.038,0.327,1.011,0.202,8.225,0.203,0.264,0.028,0.239,0.904,0.17,6.267,-2.122,0.156,0.384,55.82797
J1455-3330,0.007987,2.43e-20,330.722,22.562,73,1.443,2.154,0.32,2.731,1.268,0.294,11.303,1.112,1.862,0.288,2.459,1.321,0.314,14.011,0.79,1.538,0.259,2.214,1.44,0.363,16.02,0.668,1.052,0.126,1.08,1.027,0.209,10.775,0.619,0.875,0.113,0.969,1.108,0.236,9.182,0.455,0.725,0.092,0.786,1.085,0.228,9.491,0.352,0.57,0.063,0.536,0.94,0.182,6.026,0.365,0.501,0.051,0.436,0.87,0.161,5.149,-2.846,0.259,0.755,13.56947
J1513-2550,0.002119,2.16e-20,338.82,26.964,37,1.704,1.611,0.074,0.451,0.28,0.046,1.365,1.186,1.155,0.052,0.315,0.273,0.044,1.389,0.884,0.839,0.036,0.22,0.262,0.042,1.431,0.668,0.625,0.033,0.199,0.319,0.054,1.448,0.488,0.47,0.019,0.117,0.25,0.04,1.445,0.36,0.362,0.015,0.09,0.249,0.04,1.651,0.303,0.288,0.015,0.093,0.324,0.055,1.476,0.226,0.218,0.012,0.072,0.331,0.057,1.563,-3.651,0.096,0.388,46.881
J1514-4946,0.003589,1.87e-20,325.249,6.807,44,0.228,0.269,0.028,0.186,0.692,0.147,4.159,0.196,0.222,0.023,0.153,0.689,0.146,4.12,0.156,0.215,0.026,0.176,0.816,0.188,6.388,0.148,0.192,0.022,0.149,0.775,0.174,5.109,0.121,0.181,0.024,0.158,0.875,0.21,7.507,0.153,0.185,0.022,0.144,0.779,0.175,4.54,0.09,0.167,0.036,0.236,1.411,0.452,14.552,0.091,0.147,0.024,0.161,1.096,0.299,8.842,-0.952,0.259,0.176,31.0098
J1525-5545,0.01136,1.31e-19,323.439,0.851,79,0.699,0.717,0.01,0.092,0.129,0.012,1.455,0.635,0.654,0.009,0.082,0.126,0.012,1.496,0.578,0.598,0.008,0.074,0.124,0.012,1.428,0.516,0.529,0.008,0.074,0.14,0.013,1.512,0.458,0.474,0.007,0.063,0.133,0.013,1.442,0.414,0.426,0.006,0.056,0.131,0.012,1.426,0.374,0.382,0.005,0.047,0.124,0.012,1.415,0.327,0.337,0.005,0.043,0.127,0.012,1.459,-1.398,0.029,0.432,126.972
J1543-5149,0.002057,1.62e-20,327.921,2.479,75,3.059,3.168,0.131,1.135,0.358,0.044,2.369,2.221,2.384,0.112,0.967,0.405,0.052,2.974,1.77,1.845,0.088,0.76,0.412,0.053,1.953,1.415,1.423,0.074,0.644,0.453,0.061,2.385,0.951,1.111,0.067,0.577,0.52,0.074,3.642,0.756,0.869,0.058,0.498,0.574,0.085,4.446,0.63,0.703,0.043,0.374,0.533,0.077,3.263,0.499,0.599,0.044,0.379,0.633,0.098,4.019,-3.116,0.108,0.942,50.9815
J1545-4550,0.003575,5.24e-20,331.892,6.988,84,1.571,1.64,0.063,0.575,0.35,0.041,2.057,1.426,1.486,0.059,0.541,0.364,0.043,2.146,1.354,1.364,0.054,0.499,0.366,0.043,1.887,1.21,1.244,0.046,0.425,0.341,0.039,2.082,1.049,1.114,0.04,0.37,0.332,0.038,2.429,0.996,1.033,0.042,0.388,0.376,0.045,2.559,0.869,1.003,0.045,0.411,0.41,0.05,3.055,0.841,0.922,0.044,0.403,0.436,0.055,2.496,-1.078,0.083,1.076,68.38804
J1547-5709,0.004291,7.45e-21,325.076,-2.052,73,0.651,0.684,0.029,0.244,0.357,0.045,2.05,0.592,0.582,0.024,0.202,0.347,0.043,1.744,0.496,0.518,0.02,0.168,0.324,0.039,1.985,0.441,0.453,0.018,0.154,0.34,0.042,2.028,0.359,0.37,0.014,0.121,0.328,0.04,1.877,0.335,0.34,0.013,0.111,0.325,0.039,1.885,0.305,0.306,0.011,0.098,0.319,0.038,2.028,0.254,0.259,0.011,0.094,0.364,0.046,1.912,-1.761,0.081,0.349,95.7225
J1600-3053,0.003598,9.500000000000001e-21,344.09,16.451,73,3.04,3.141,0.102,0.869,0.277,0.032,1.703,3.021,2.982,0.088,0.753,0.253,0.029,1.743,2.711,2.82,0.078,0.663,0.235,0.026,1.68,2.668,2.638,0.074,0.632,0.24,0.027,1.692,2.307,2.471,0.083,0.705,0.285,0.033,1.868,2.339,2.304,0.078,0.665,0.289,0.034,1.943,1.974,2.08,0.071,0.61,0.293,0.035,2.038,1.824,1.943,0.074,0.63,0.324,0.039,1.969,-0.881,0.067,2.304,52.32816
J1603-7202,0.014842,1.56e-20,316.63,-14.496,77,6.081,7.055,0.511,4.482,0.635,0.098,5.5,4.675,5.838,0.378,3.316,0.568,0.083,3.826,3.974,4.764,0.334,2.935,0.616,0.093,3.855,3.337,3.736,0.272,2.383,0.638,0.098,4.402,2.343,3.142,0.255,2.234,0.711,0.115,4.562,2.055,2.648,0.235,2.06,0.778,0.132,4.66,1.758,2.315,0.226,1.985,0.857,0.153,6.286,1.355,1.855,0.193,1.693,0.913,0.169,6.318,-2.444,0.165,2.777,38.0492
